,fare_amount
0,10
1,20
2,30
3,40
4,50
5,10
6,20
7,30
8,40
9,50
10,10
11,20
12,30
13,40
14,50
15,10
16,20
17,30
18,40
19,50
20,10
21,20
22,30
23,40
24,50
25,10
26,20
27,30
28,40
29,50
30,10
31,20
32,30
33,40
34,50
35,10
36,20
37,30
38,40
39,50
40,10
41,20
42,30
43,40
44,50
45,10
46,20
47,30
48,40
49,50
50,10
51,20
52,30
53,40
54,50
55,10
56,20
57,30
58,40
59,50
60,10
61,20
62,30
63,40
64,50
65,10
66,20
67,30
68,40
69,50
70,10
71,20
72,30
73,40
74,50
75,10
76,20
77,30
78,40
79,50
80,10
81,20
82,30
83,40
84,50
85,10
86,20
87,30
88,40
89,50
90,10
91,20
92,30
93,40
94,50
95,10
96,20
97,30
98,40
99,50
100,10
101,20
102,30
103,40
104,50
105,10
106,20
107,30
108,40
109,50
110,10
111,20
112,30
113,40
114,50
115,10
116,20
117,30
118,40
119,50
120,10
121,20
122,30
123,40
124,50
125,10
126,20
127,30
128,40
129,50
130,10
131,20
132,30
133,40
134,50
135,10
136,20
137,30
138,40
139,50
140,10
141,20
142,30
143,40
144,50
145,10
146,20
147,30
148,40
149,50
150,10
151,20
152,30
153,40
154,50
155,10
156,20
157,30
158,40
159,50
160,10
161,20
162,30
163,40
164,50
165,10
166,20
167,30
168,40
169,50
170,10
171,20
172,30
173,40
174,50
175,10
176,20
177,30
178,40
179,50
180,10
181,20
182,30
183,40
184,50
185,10
186,20
187,30
188,40
189,50
190,10
191,20
192,30
193,40
194,50
195,10
196,20
197,30
198,40
199,50
200,10
201,20
202,30
203,40
204,50
205,10
206,20
207,30
208,40
209,50
210,10
211,20
212,30
213,40
214,50
215,10
216,20
217,30
218,40
219,50
220,10
221,20
222,30
223,40
224,50
225,10
226,20
227,30
228,40
229,50
230,10
231,20
232,30
233,40
234,50
235,10
236,20
237,30
238,40
239,50
240,10
241,20
242,30
243,40
244,50
245,10
246,20
247,30
248,40
249,50
250,10
251,20
252,30
253,40
254,50
255,10
256,20
257,30
258,40
259,50
260,10
261,20
262,30
263,40
264,50
265,10
266,20
267,30
268,40
269,50
270,10
271,20
272,30
273,40
274,50
275,10
276,20
277,30
278,40
279,50
280,10
281,20
282,30
283,40
284,50
285,10
286,20
287,30
288,40
289,50
290,10
291,20
292,30
293,40
294,50
295,10
296,20
297,30
298,40
299,50
300,10
301,20
302,30
303,40
304,50
305,10
306,20
307,30
308,40
309,50
310,10
311,20
312,30
313,40
314,50
315,10
316,20
317,30
318,40
319,50
320,10
321,20
322,30
323,40
324,50
325,10
326,20
327,30
328,40
329,50
330,10
331,20
332,30
333,40
334,50
335,10
336,20
337,30
338,40
339,50
340,10
341,20
342,30
343,40
344,50
345,10
346,20
347,30
348,40
349,50
350,10
351,20
352,30
353,40
354,50
355,10
356,20
357,30
358,40
359,50
360,10
361,20
362,30
363,40
364,50
365,10
366,20
367,30
368,40
369,50
370,10
371,20
372,30
373,40
374,50
375,10
376,20
377,30
378,40
379,50
380,10
381,20
382,30
383,40
384,50
385,10
386,20
387,30
388,40
389,50
390,10
391,20
392,30
393,40
394,50
395,10
396,20
397,30
398,40
399,50
400,10
401,20
402,30
403,40
404,50
405,10
406,20
407,30
408,40
409,50
410,10
411,20
412,30
413,40
414,50
415,10
416,20
417,30
418,40
419,50
420,10
421,20
422,30
423,40
424,50
425,10
426,20
427,30
428,40
429,50
430,10
431,20
432,30
433,40
434,50
435,10
436,20
437,30
438,40
439,50
440,10
441,20
442,30
443,40
444,50
445,10
446,20
447,30
448,40
449,50
450,10
451,20
452,30
453,40
454,50
455,10
456,20
457,30
458,40
459,50
460,10
461,20
462,30
463,40
464,50
465,10
466,20
467,30
468,40
469,50
470,10
471,20
472,30
473,40
474,50
475,10
476,20
477,30
478,40
479,50
480,10
481,20
482,30
483,40
484,50
485,10
486,20
487,30
488,40
489,50
490,10
491,20
492,30
493,40
494,50
495,10
496,20
497,30
498,40
499,50
